customer_id,first_name,last_name,email,phone,registration_date,customer_segment,marketing_consent
CUST1001,Anna,Jones,annaj@example.com,-8451,00:51.4,Premium,FALSE
CUST1002,William,Garcia,williamg@example.com,-5124,00:51.4,Basic,FALSE
CUST1003,Robert,Smith,roberts@example.com,-7261,00:51.4,Premium,TRUE
CUST1004,Sarah,Miller,sarahm@example.com,-2526,00:51.4,Standard,FALSE
CUST1005,Robert,Brown,robertb@example.com,-7973,00:51.4,Premium,TRUE
CUST1006,William,Miller,williamm@example.com,-4567,00:51.4,Standard,FALSE
CUST1007,John,Davis,johnd@example.com,-6272,00:51.4,Basic,FALSE
CUST1008,Linda,Rodriguez,lindar@example.com,-7522,00:51.4,Standard,TRUE
CUST1009,Richard,Rodriguez,richardr@example.com,-6947,00:51.4,Basic,TRUE
CUST1010,John,Smith,johns@example.com,-5982,00:51.4,Standard,FALSE
CUST1011,Lisa,Garcia,lisag@example.com,-1905,00:51.4,Standard,TRUE
CUST1012,Jennifer,Smith,jennifers@example.com,-10152,00:51.4,Premium,FALSE
CUST1013,John,Lopez,johnl@example.com,-5143,00:51.4,Basic,FALSE
CUST1014,Robert,Jones,robertj@example.com,-2561,00:51.4,Premium,FALSE
CUST1015,Thomas,Gonzalez,thomasg@example.com,-5303,00:51.4,Standard,TRUE
CUST1016,Maria,Garcia,mariag@example.com,-5955,00:51.4,Standard,TRUE
CUST1017,William,Martinez,williamm@example.com,-9853,00:51.4,Standard,FALSE
CUST1018,James,Gonzalez,jamesg@example.com,-4361,00:51.4,Standard,TRUE
CUST1019,Robert,Brown,robertb@example.com,-9084,00:51.4,Basic,TRUE
CUST1020,Thomas,Lopez,thomasl@example.com,-6087,00:51.4,Standard,TRUE
CUST1021,Lisa,Martinez,lisam@example.com,-7122,00:51.4,Basic,FALSE
CUST1022,William,Lopez,williaml@example.com,-5276,00:51.4,Premium,TRUE
CUST1023,Emma,Garcia,emma.garcia@example.com,-6145,00:51.4,Premium,FALSE
CUST1024,Jennifer,Martinez,jenniferm@example.com,-2603,00:51.4,Standard,TRUE
CUST1025,Maria,Jones,mariaj@example.com,-3375,00:51.4,Premium,TRUE
CUST1026,Sarah,Garcia,sarahg@example.com,-5881,00:51.4,Basic,FALSE
CUST1027,Thomas,Jones,thomasj@example.com,-5978,00:51.4,Basic,TRUE
CUST1028,Lisa,Rodriguez,lisar@example.com,-3863,00:51.4,Standard,FALSE
CUST1029,David,Lopez,david.lopez@example.com,-8569,00:51.4,Premium,FALSE
CUST1030,Linda,Jones,lindaj@example.com,-5260,00:51.4,Basic,FALSE
CUST1031,Maria,Williams,mariaw@example.com,-6589,00:51.4,Basic,FALSE
CUST1032,John,Lopez,johnl@example.com,-4192,00:51.4,Basic,FALSE
CUST1033,John,Smith,johns@example.com,-7653,00:51.4,Premium,TRUE
CUST1034,Anna,Martinez,annam@example.com,-6157,00:51.4,Standard,FALSE
CUST1035,Richard,Williams,richardw@example.com,-10710,00:51.4,Standard,FALSE
CUST1036,Maria,Johnson,mariaj@example.com,-10147,00:51.4,Premium,TRUE
CUST1037,Richard,Davis,richardd@example.com,-11281,00:51.4,Basic,TRUE
CUST1038,Michael,Brown,michaelb@example.com,-5873,00:51.4,Premium,TRUE
CUST1039,Robert,Williams,robertw@example.com,-11321,00:51.4,Standard,TRUE
CUST1040,William,Williams,williamw@example.com,-9498,00:51.4,Premium,TRUE
CUST1041,Jennifer,Brown,jenniferb@example.com,-8988,00:51.4,Basic,TRUE
CUST1042,Emma,Jones,emmaj@example.com,-3848,00:51.4,Standard,FALSE
CUST1043,James,Martinez,jamesm@example.com,-9898,00:51.4,Basic,FALSE
CUST1044,Robert,Martinez,robertm@example.com,-3448,00:51.4,Premium,FALSE
CUST1045,Maria,Rodriguez,mariar@example.com,-3387,00:51.4,Premium,FALSE
CUST1046,Michael,Davis,michaeld@example.com,-10686,00:51.4,Basic,TRUE
CUST1047,Robert,Gonzalez,robertg@example.com,-3878,00:51.4,Basic,TRUE
CUST1048,Maria,Martinez,mariam@example.com,-6574,00:51.4,Standard,FALSE
CUST1049,Emma,Lopez,emmal@example.com,-8184,00:51.4,Premium,TRUE
CUST1050,Jennifer,Smith,jennifer.smith@example.com,-1903,00:51.4,Premium,FALSE
CUST1051,Richard,Gonzalez,richardg@example.com,-7204,00:51.4,Basic,TRUE
CUST1052,Emma,Rodriguez,emmar@example.com,-7603,00:51.4,Basic,TRUE
CUST1053,David,Garcia,davidg@example.com,-3018,00:51.4,Standard,FALSE
CUST1054,Anna,Lopez,annal@example.com,-8820,00:51.4,Standard,FALSE
CUST1055,Sarah,Lopez,sarah.lopez@example.com,-6168,00:51.4,Premium,TRUE
CUST1056,David,Brown,davidb@example.com,-9925,00:51.4,Standard,FALSE
CUST1057,Michael,Jones,michaelj@example.com,-4534,00:51.4,Standard,TRUE
CUST1058,Richard,Jones,richard.jones@example.com,-4220,00:51.4,Basic,TRUE
CUST1059,William,Jones,williamj@example.com,-9477,00:51.4,Premium,TRUE
CUST1060,John,Johnson,john.johnson@example.com,-10233,00:51.4,Standard,FALSE
CUST1061,John,Jones,johnj@example.com,-9280,00:51.4,Premium,FALSE
CUST1062,Maria,Williams,mariaw@example.com,-4579,00:51.4,Premium,TRUE
CUST1063,Emma,Smith,emmas@example.com,-9240,00:51.4,Standard,FALSE
CUST1064,Sarah,Garcia,sarahg@example.com,-6322,00:51.4,Premium,FALSE
CUST1065,Linda,Hernandez,lindah@example.com,-7179,00:51.4,Basic,TRUE
CUST1066,Lisa,Lopez,lisal@example.com,-9768,00:51.4,Basic,TRUE
CUST1067,Michael,Johnson,michaelj@example.com,-7103,00:51.4,Basic,FALSE
CUST1068,Michael,Smith,michaels@example.com,-8118,00:51.4,Premium,FALSE
CUST1069,Emma,Davis,emma.davis@example.com,-6403,00:51.4,Basic,TRUE
CUST1070,William,Williams,williamw@example.com,-8058,00:51.4,Premium,TRUE
CUST1071,Michael,Hernandez,michaelh@example.com,-8491,00:51.4,Basic,TRUE
CUST1072,David,Johnson,davidj@example.com,-9168,00:51.4,Premium,TRUE
CUST1073,Jennifer,Martinez,jenniferm@example.com,-8971,00:51.4,Premium,TRUE
CUST1074,Robert,Garcia,robert.garcia@example.com,-6627,00:51.4,Premium,FALSE
CUST1075,Emma,Smith,emma.smith@example.com,-7717,00:51.4,Basic,TRUE
CUST1076,Anna,Garcia,annag@example.com,-2095,00:51.4,Standard,TRUE
CUST1077,Anna,Williams,annaw@example.com,-3935,00:51.4,Standard,FALSE
CUST1078,Michael,Williams,michaelw@example.com,-11189,00:51.4,Premium,TRUE
CUST1079,James,Garcia,jamesg@example.com,-8478,00:51.4,Premium,FALSE
CUST1080,Maria,Williams,mariaw@example.com,-8135,00:51.4,Standard,FALSE
CUST1081,Thomas,Davis,thomasd@example.com,-4720,00:51.4,Standard,FALSE
CUST1082,Maria,Johnson,mariaj@example.com,-6342,00:51.4,Premium,FALSE
CUST1083,David,Garcia,davidg@example.com,-8989,00:51.4,Standard,TRUE
CUST1084,Anna,Miller,annam@example.com,-4486,00:51.4,Premium,FALSE
CUST1085,Anna,Garcia,annag@example.com,-9923,00:51.4,Standard,FALSE
CUST1086,John,Davis,johnd@example.com,-2693,00:51.4,Standard,TRUE
CUST1087,Richard,Lopez,richardl@example.com,-10686,00:51.4,Premium,FALSE
CUST1088,Thomas,Smith,thomass@example.com,-6781,00:51.4,Basic,TRUE
CUST1089,John,Garcia,johng@example.com,-7952,00:51.4,Standard,TRUE
CUST1090,Anna,Johnson,anna.johnson@example.com,-4814,00:51.4,Basic,TRUE
